PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,AGE,GP,MIN,PTS,REB,OREB,AST,STL,BLK,TOV,FG_PCT,FG3M,FG3_PCT,FT_PCT,PLUS_MINUS
203932,aaron gordon,DEN,25,50,1383,618,284,77,161,33,34,97,0.463,59,0.335,0.651,60
1628988,aaron holiday,IND,24,66,1176,475,89,15,123,46,13,66,0.39,67,0.368,0.819,3
1630174,aaron nesmith,BOS,21,46,668,218,127,28,23,15,9,23,0.438,40,0.37,0.786,-7
1627846,abdel nader,PHX,27,24,355,160,62,7,19,10,9,19,0.491,18,0.419,0.757,28
1629690,adam mokoka,CHI,22,14,56,15,5,1,5,2,1,5,0.368,1,0.1,0.0,-8
201143,al horford,BOS,35,28,781,398,188,29,94,25,26,29,0.45,56,0.368,0.818,-101
202329,al-farouq aminu,CHI,30,23,434,102,110,22,31,19,9,28,0.384,8,0.216,0.818,-54
202692,alec burks,NYK,29,49,1254,623,227,21,107,31,14,49,0.42,102,0.415,0.856,125
1630197,aleksej pokusevski,OKC,19,45,1089,367,212,30,97,20,42,99,0.341,58,0.28,0.738,-393
1629346,alen smailagic,GSW,20,15,83,28,16,6,4,3,5,5,0.407,4,0.4,0.333,-32
1627936,alex caruso,LAL,27,58,1216,370,170,31,160,64,15,76,0.436,55,0.401,0.645,120
203458,alex len,WAS,28,64,978,423,260,78,49,20,64,55,0.615,8,0.32,0.629,-97
1628035,alfonzo mckinnie,LAL,28,39,258,122,54,22,6,7,0,5,0.516,16,0.41,0.556,7
1628993,alize johnson,BKN,25,18,188,94,90,27,14,5,5,9,0.588,1,0.167,1.0,-18
1628578,amida brimah,IND,27,5,29,13,8,2,1,0,5,4,0.625,0,0.0,1.0,22
1629599,amir coffey,LAC,24,44,394,140,44,10,22,10,0,15,0.437,23,0.411,0.711,-26
2760,anderson varejao,CLE,38,5,35,13,20,7,3,0,2,1,0.25,0,0.0,0.556,-33
203083,andre drummond,LAL,27,46,1241,687,551,166,94,63,49,124,0.493,0,0.0,0.6,-105
